Unnamed: 0,arrival_time,departure_time,street_marker,area,vio_time,vio_stay_time,date,week,noon
7543,2016/11/29 18:22,20:30,C2836,Princes Theatre,20:22,8,2016/11/29,2,2
48133,2016/11/29 12:06,13:15,C668,City Square,13:06,9,2016/11/29,2,2
50708,2016/11/29 9:05,13:12,C5430,Queensberry,13:05,7,2016/11/29,2,2
69493,2016/11/29 11:23,13:39,13260N,Docklands,13:23,16,2016/11/29,2,2
85166,2016/11/29 7:30,10:56,5123W,Courtney,8:30,146,2016/11/29,2,1
87494,2016/11/29 7:30,14:44,690E,City Square,8:30,374,2016/11/29,2,1
87671,2016/11/29 10:29,13:07,C4880,Victoria Market,11:29,98,2016/11/29,2,1
94941,2016/11/29 12:30,13:35,13029S,Docklands,12:45,50,2016/11/29,2,2
100306,2016/11/29 9:18,12:06,13781W,Docklands,11:18,48,2016/11/29,2,1
109825,2016/11/29 11:01,12:21,C680,City Square,12:01,20,2016/11/29,2,2
124606,2016/11/29 12:08,15:20,C156,Regency,15:08,12,2016/11/29,2,2
125256,2016/11/29 12:37,13:55,C688,City Square,13:37,18,2016/11/29,2,2
139551,2016/11/29 12:03,14:28,C2958,Hardware,13:03,85,2016/11/29,2,2
159892,2016/11/29 10:00,11:03,1443W,Family,10:30,33,2016/11/29,2,1
161528,2016/11/29 11:27,14:01,11526N,West Melbourne,13:27,34,2016/11/29,2,2
165538,2016/11/29 15:49,16:30,1975S,Banks,16:19,11,2016/11/29,2,2
213935,2016/11/29 9:37,12:04,13302E,Docklands,11:37,27,2016/11/29,2,1
216503,2016/11/29 17:55,18:58,962E,Library,18:25,33,2016/11/29,2,2
234105,2016/11/29 9:38,11:47,13779W,Docklands,11:38,9,2016/11/29,2,1
234244,2016/11/29 14:16,18:27,C8006,West Melbourne,18:16,11,2016/11/29,2,2
251097,2016/11/29 12:16,13:03,914E,Degraves,12:46,17,2016/11/29,2,2
256647,2016/11/29 9:40,10:58,C1214,Titles,10:40,18,2016/11/29,2,1
259674,2016/11/29 9:39,13:10,C4842,Titles,11:39,91,2016/11/29,2,1
301652,2016/11/29 11:03,13:16,C9166,University,13:03,13,2016/11/29,2,2
303350,2016/11/29 9:50,11:28,13576E,Docklands,10:05,83,2016/11/29,2,1
339740,2016/11/29 8:28,10:32,2563S,Supreme,9:28,64,2016/11/29,2,1
345308,2016/11/29 15:53,18:30,5592E,Queensberry,16:23,127,2016/11/29,2,2
374016,2016/11/29 7:30,16:13,12085W,East Melbourne,9:30,403,2016/11/29,2,1
376082,2016/11/29 11:26,12:08,1452E,Family,11:56,12,2016/11/29,2,1
393372,2016/11/29 17:58,19:30,C668,City Square,18:58,32,2016/11/29,2,2
397392,2016/11/29 10:40,11:50,37W,Twin Towers,11:40,10,2016/11/29,2,1
407911,2016/11/29 10:42,13:01,C2866,Princes Theatre,12:42,19,2016/11/29,2,2
408813,2016/11/29 14:01,16:46,5145W,Courtney,14:31,135,2016/11/29,2,2
430870,2016/11/29 10:47,14:09,812E,Library,11:17,172,2016/11/29,2,1
449573,2016/11/29 16:59,19:30,C1144,Hardware,17:59,91,2016/11/29,2,2
456315,2016/11/29 17:23,18:30,11808E,Jolimont,18:23,7,2016/11/29,2,2
462201,2016/11/29 13:56,15:07,C2962,Hardware,14:56,11,2016/11/29,2,2
470472,2016/11/29 16:58,19:06,55W,Princes Theatre,18:58,8,2016/11/29,2,2
490859,2016/11/29 13:41,14:17,6629S,Titles,14:11,6,2016/11/29,2,2
525601,2016/11/29 9:44,11:01,12435S,Jolimont,10:44,17,2016/11/29,2,1
531338,2016/11/29 22:56,23:19,10051S,Southbank,23:06,13,2016/11/29,2,2
549473,2016/11/29 9:34,11:41,12422N,Jolimont,11:34,7,2016/11/29,2,1
549570,2016/11/29 7:50,17:00,5058E,Courtney,8:20,520,2016/11/29,2,1
589824,2016/11/29 15:58,18:25,C2984,Supreme,17:58,27,2016/11/29,2,2
590463,2016/11/29 10:46,14:07,11746E,Jolimont,12:46,81,2016/11/29,2,2
601301,2016/11/29 12:59,15:20,12439S,Jolimont,13:59,81,2016/11/29,2,2
611619,2016/11/29 8:47,17:08,2287S,Spencer,10:47,381,2016/11/29,2,1
612798,2016/11/29 19:26,20:19,6669S,Titles,19:56,23,2016/11/29,2,2
644564,2016/11/29 8:57,9:51,13723W,Docklands,9:27,24,2016/11/29,2,1
646231,2016/11/29 9:44,11:10,12364N,East Melbourne,10:44,26,2016/11/29,2,1
666039,2016/11/29 8:07,10:17,13636E,Docklands,10:07,10,2016/11/29,2,1
689416,2016/11/29 9:49,13:00,C2696,Princes Theatre,11:49,71,2016/11/29,2,1
712283,2016/11/29 13:39,14:49,9451S,Southbank,14:39,10,2016/11/29,2,2
715929,2016/11/29 10:05,12:16,9429S,Southbank,11:05,71,2016/11/29,2,1
730055,2016/11/29 10:42,15:01,1899S,Twin Towers,12:42,139,2016/11/29,2,2
739372,2016/11/29 11:26,14:43,7336E,West Melbourne,12:26,137,2016/11/29,2,2
760383,2016/11/29 6:13,8:33,10053S,Southbank,6:23,130,2016/11/29,2,1
776077,2016/11/29 14:55,17:24,11957W,East Melbourne,16:55,29,2016/11/29,2,2
810090,2016/11/29 10:48,12:02,5086E,Courtney,11:18,44,2016/11/29,2,1
819897,2016/11/29 13:58,16:48,2363S,Windsor,14:58,110,2016/11/29,2,2
820831,2016/11/29 16:49,18:30,13403W,Docklands,17:04,86,2016/11/29,2,2
842577,2016/11/29 16:22,18:30,1897S,Twin Towers,17:22,68,2016/11/29,2,2
842991,2016/11/29 12:34,13:35,2553S,Hardware,13:04,31,2016/11/29,2,2
893594,2016/11/29 7:30,10:34,5256E,Courtney,8:30,124,2016/11/29,2,1
929413,2016/11/29 16:58,17:22,13578E,Docklands,17:13,9,2016/11/29,2,2
942798,2016/11/29 11:33,12:05,2350N,Windsor,11:48,17,2016/11/29,2,1
972707,2016/11/29 8:41,9:48,C666,City Square,9:41,7,2016/11/29,2,1
974235,2016/11/29 11:56,13:19,694E,City Square,12:56,23,2016/11/29,2,2
1036842,2016/11/29 9:23,9:58,914E,Degraves,9:53,5,2016/11/29,2,1
1041949,2016/11/29 13:52,16:00,13262N,Docklands,15:52,8,2016/11/29,2,2
1070204,2016/11/29 14:22,15:11,675W,City Square,14:52,19,2016/11/29,2,2
1071423,2016/11/29 8:52,9:30,13251S,Docklands,9:07,23,2016/11/29,2,1
1073737,2016/11/29 7:30,9:36,13663W,Docklands,9:30,6,2016/11/29,2,1
1092861,2016/11/29 13:39,15:59,13656E,Docklands,15:39,20,2016/11/29,2,2
1094621,2016/11/29 7:30,13:36,9842N,Southbank,9:30,246,2016/11/29,2,1
1096894,2016/11/29 13:17,14:23,435W,Windsor,14:17,6,2016/11/29,2,2
1112975,2016/11/29 11:20,15:11,C9182,University,13:20,111,2016/11/29,2,2
1113928,2016/11/29 16:19,18:01,5268E,Courtney,17:19,42,2016/11/29,2,2
1136217,2016/11/29 13:22,14:26,7037S,Victoria Market,13:37,49,2016/11/29,2,2
1138465,2016/11/29 9:13,17:39,13634E,Docklands,9:23,496,2016/11/29,2,1
1158905,2016/11/29 13:47,16:27,11747W,Jolimont,15:47,40,2016/11/29,2,2
1168632,2016/11/29 15:04,16:11,2553S,Hardware,15:34,37,2016/11/29,2,2
1200342,2016/11/29 12:14,12:41,13574E,Docklands,12:29,12,2016/11/29,2,2
1206632,2016/11/29 13:00,13:51,1660N,Banks,13:30,21,2016/11/29,2,2
1206687,2016/11/29 16:10,18:06,C1222,Titles,17:10,56,2016/11/29,2,2
1206890,2016/11/29 13:49,15:06,13210N,Docklands,14:49,17,2016/11/29,2,2
1213374,2016/11/29 15:51,17:18,13214N,Docklands,16:51,27,2016/11/29,2,2
1214153,2016/11/29 10:17,12:47,12804N,Drummond,12:17,30,2016/11/29,2,2
1214659,2016/11/29 7:30,8:39,5145W,Courtney,8:00,39,2016/11/29,2,1
1215732,2016/11/29 14:49,16:09,C1140,Hardware,15:49,20,2016/11/29,2,2
